3.0874,0,0,0,0,0,3
127,110,120,120,130,140,127
14.8,10,10,10,20,20,14
370,310,340,360,380,410,370
33,30,30,30,30,40,33
1820,1530,1650,1760,1880,2000,1820
2700,2270,2200,2130,2070,2000,2700
2.59,0,0,0,0,0,2
3.5675,0,0,0,0,0,3
146,120,130,140,150,160,146
15.4,10,10,10,20,20,15
337,280,310,330,350,370,337
27,20,20,30,30,30,27
1880,1580,1680,1790,1890,2000,1880
2400,2020,2010,2010,2000,2000,2400
2.29,0,0,0,0,0,2
4.7876,0,0,0,0,10,4
106,90,100,100,110,120,106
13.2,10,10,10,10,10,13
255,210,230,250,270,280,255
6.9,10,10,10,10,10,6
1860,1560,1670,1780,1890,2000,1860
1100,920,1000,1070,1140,1220,1100
2.56,0,0,0,0,0,2
3.7878,0,0,0,0,0,3
142,120,130,140,150,160,142
15.4,10,10,10,20,20,15
276,230,250,270,290,310,276
7.5,10,10,10,10,10,7
1950,1640,1730,1820,1910,2000,1950
2600,2180,2140,2090,2050,2000,2600
2.36,0,0,0,0,0,2
3.6281,0,0,0,0,0,3
147,120,130,140,150,160,147
15.8,10,10,20,20,20,15
250,210,230,240,260,280,250
140,120,130,140,150,150,140
1970,1650,1740,1830,1910,2000,1970
2500,2100,2070,2050,2020,2000,2500
2.41,0,0,0,0,0,2
4.0082,0,0,0,0,0,4
139,120,130,140,140,150,139
15.7,10,10,20,20,20,15
653,550,590,640,680,720,653
95,80,90,90,100,110,95
1680,1410,1520,1630,1750,1860,1680
2700,2270,2200,2130,2070,2000,2700
2.53,0,0,0,0,0,2
4.1783,0,0,0,0,0,4
116,100,110,110,120,130,116
14.3,10,10,10,10,20,14
711,600,640,690,740,790,711
86,70,80,80,90,100,86
1610,1350,1460,1570,1670,1780,1610
1900,1600,1700,1800,1900,2000,1900
2.55,0,0,0,0,0,2
3.7184,0,0,0,0,0,3
146,120,130,140,150,160,146
15.7,10,10,20,20,20,15
1300,1090,1180,1260,1350,1440,1300
300,250,270,290,310,330,300
1530,1290,1390,1490,1590,1690,1530
4200,3530,3150,2760,2380,2000,4200
2.73,0,0,0,0,0,2
2.6087,0,0,0,0,0,2
131,110,120,130,140,140,131
14.9,10,10,10,20,20,14
416,350,380,400,430,460,416
60,50,50,60,60,70,60
1780,1490,1610,1730,1850,1970,1780
7900,6640,5480,4320,3160,2000,7900
2.54,0,0,0,0,0,2
3.1888,0,0,0,0,0,3
130,110,120,130,140,140,130
15.5,10,10,20,20,20,15
948,800,860,920,990,1050,948
39,30,40,40,40,40,39
1570,1320,1420,1530,1630,1740,1570
2300,1930,1950,1970,1980,2000,2300
2.70,0,0,0,0,0,2
3.4090,0,0,0,0,0,3
132,110,120,130,140,150,132
14.3,10,10,10,10,20,14
946,790,860,920,980,1050,946
360,300,330,350,370,400,360
1570,1320,1420,1530,1630,1740,1570
6500,5460,4590,3730,2860,2000,6500
2.88,0,0,0,0,0,2
3.4592,0,0,0,0,0,3
118,100,110,110,120,130,118
15.1,10,10,10,20,20,15
325,270,290,320,340,360,325
17,10,20,20,20,20,17
1830,1540,1650,1770,1880,2000,1830
2200,1850,1890,1920,1960,2000,2200
2.44,0,0,0,0,0,2
4.7594,0,0,0,0,10,4
125,100,110,120,130,140,125
14.7,10,10,10,20,20,14
293,250,270,290,300,320,293
19,20,20,20,20,20,19
1870,1570,1680,1790,1890,2000,1870
2900,2440,2330,2220,2110,2000,2900
2.54,0,0,0,0,0,2
3.3696,0,0,0,0,0,3
113,90,100,110,120,120,113
13.8,10,10,10,10,20,13
342,290,310,330,360,380,342
280,240,250,270,290,310,280
1800,1510,1630,1750,1870,1990,1800
3900,3280,2960,2640,2320,2000,3900
2.53,0,0,0,0,0,2
3.5097,0,0,0,0,0,3
130,110,120,130,140,140,130
14.6,10,10,10,20,20,14
611,510,550,590,630,680,611
99,80,90,100,100,110,99
1680,1410,1520,1630,1750,1860,1680
1700,1430,1540,1650,1770,1880,1700
2.70,0,0,0,0,0,2
4.1098,0,0,0,0,0,4
119,100,110,120,120,130,119
14.0,10,10,10,10,20,14
1020,860,920,990,1060,1130,1020
230,190,210,220,240,250,230
1530,1290,1390,1490,1590,1690,1530
1800,1510,1630,1750,1870,1990,1800
2.96,0,0,0,0,0,2
4.5799,0,0,0,0,10,4
137,120,120,130,140,150,137
15.5,10,10,20,20,20,15
512,430,460,500,530,570,512
150,130,140,150,160,170,150
1740,1460,1580,1690,1810,1920,1740
3700,3110,2830,2550,2280,2000,3700
2.66,0,0,0,0,0,2
4.75102,0,0,0,0,10,4
120,100,110,120,120,130,120
14.7,10,10,10,20,20,14
607,510,550,590,630,670,607
50,40,50,50,50,60,50
1660,1390,1500,1610,1730,1840,1660
2300,1930,1950,1970,1980,2000,2300
2.67,0,0,0,0,0,2
4.11103,0,0,0,0,0,4
109,90,100,110,110,120,109
14.7,10,10,10,20,20,14
445,370,400,430,460,490,445
22,20,20,20,20,20,22
1710,1440,1550,1660,1780,1890,1710
1600,1340,1450,1560,1660,1770,1600
2.57,0,0,0,0,0,2
3.90104,0,0,0,0,0,3
117,100,110,110,120,130,117
14.1,10,10,10,10,20,14
723,610,660,700,750,800,723
170,140,150,170,180,190,170
1610,1350,1460,1570,1670,1780,1610
1500,1260,1360,1460,1560,1660,1500
2.79,0,0,0,0,0,2
3.57105,0,0,0,0,0,3
113,90,100,110,120,120,113
14.7,10,10,10,20,20,14
751,630,680,730,780,830,751
52,40,50,50,50,60,52
1590,1340,1440,1550,1650,1760,1590
2300,1930,1950,1970,1980,2000,2300
2.76,0,0,0,0,0,2
4.57106,0,0,0,0,10,4
139,120,130,140,140,150,139
15.4,10,10,10,20,20,15
1820,1530,1650,1760,1880,2000,1820
270,230,240,260,280,300,270
1440,1210,1310,1400,1500,1590,1440
4300,3610,3210,2810,2400,2000,4300
3.00,0,0,0,0,0,3
3.75107,0,0,0,0,0,3
128,110,120,120,130,140,128
14.2,10,10,10,10,20,14
2740,2300,2230,2150,2080,2000,2740
160,130,150,160,170,180,160
1350,1130,1220,1310,1400,1490,1350
3900,3280,2960,2640,2320,2000,3900
3.22,0,0,0,0,0,3
4.25108,0,0,0,0,0,4
120,100,110,120,120,130,120
14.2,10,10,10,10,20,14
1920,1610,1710,1810,1900,2000,1920
370,310,340,360,380,410,370
1410,1180,1280,1370,1470,1560,1410
2600,2180,2140,2090,2050,2000,2600
3.12,0,0,0,0,0,3
4.08111,0,0,0,0,0,4
125,100,110,120,130,140,125
15.4,10,10,10,20,20,15
1680,1410,1520,1630,1750,1860,1680
1100,920,1000,1070,1140,1220,1100
1440,1210,1310,1400,1500,1590,1440
6400,5380,4530,3690,2840,2000,6400
2.92,0,0,0,0,0,2
4.18112,0,0,0,0,0,4
123,100,110,120,130,140,123
13.9,10,10,10,10,20,13
308,260,280,300,320,340,308
21,20,20,20,20,20,21
1850,1550,1670,1780,1890,2000,1850
1500,1260,1360,1460,1560,1660,1500
2.41,0,0,0,0,0,2
4.44113,0,0,0,0,0,4
146,120,130,140,150,160,146
16.1,10,10,20,20,20,16
2310,1940,1960,1970,1990,2000,2310
450,380,410,440,470,500,450
1410,1180,1280,1370,1470,1560,1410
